,Cu,Ni,Cr,NO3
524,1.855889,2.1384988,2.694811,16.22912
525,2.53795,0.87600607,2.7948854,15.172408
526,2.6039093,1.2876892,3.424076,18.007538
527,2.82141,1.6233312,3.9047334,20.614597
528,2.0502255,1.9294974,4.488169,21.44417
529,3.2818522,1.945465,4.5546,24.074793
530,2.7125928,2.7430518,0.035253022,10.97564
531,2.5294092,1.694722,0.6538319,10.324165
532,2.606921,1.8999231,1.1432021,12.197752
533,2.3748171,2.266108,1.8063594,14.592168
534,2.526681,1.8422462,2.3174996,15.712098
535,2.8358731,2.5443974,2.6574833,18.61906
536,3.1773148,3.1298535,3.3754742,22.367239
537,3.2681093,1.7961259,3.786204,21.424591
538,3.033289,3.3865242,4.105977,24.805859
539,3.1779714,1.369428,4.5218954,22.57031
540,2.2544124,3.2384331,0.13025524,11.35343
541,2.6720095,1.6824988,0.7716546,10.909231
542,2.7018285,2.1711514,1.142332,12.8874035
543,3.0205052,3.266044,1.7125262,17.521404
544,2.4728146,2.465998,2.4502096,17.32691
545,2.8627982,2.537078,2.8696082,19.34261
546,2.652122,1.7876348,3.3028586,18.727777
547,2.730075,1.3301135,3.7506158,19.377487
548,2.4727557,3.3844244,4.227376,24.06843
549,2.484388,3.2336512,4.6261244,25.062477
550,2.5977366,3.2318995,0.043051615,11.881576
551,2.6288917,3.0714483,0.6724822,13.202033
552,2.799034,2.9311326,1.1973263,14.904762
553,2.7880933,3.059244,1.8304399,17.026976
554,2.2408214,2.9140937,2.5019825,17.74854
555,2.6271205,2.1245003,2.8585174,17.99409
556,2.3391666,3.0063477,3.6937397,21.627188
557,3.0389407,2.457915,3.7442396,22.18648
558,2.7135887,3.008508,4.474354,24.79967
559,2.9949982,2.5005379,5.0171576,25.87536
560,2.76838,3.1270332,0.14545184,11.921008
561,2.928415,3.2408957,0.6473491,13.96658
562,2.8973892,2.3786309,1.3496096,14.378852
563,3.0248554,2.158593,1.9691602,16.318537
564,2.4692495,2.9715014,2.7693706,19.21466
565,2.628208,2.0776305,3.0984077,18.633087
566,2.0722191,2.3173108,4.0851765,20.742859
567,3.1002774,1.4841819,3.8789153,20.792442
568,3.070767,2.7534037,4.366133,24.742105
569,2.6432724,2.834492,5.261117,26.492094
570,3.046534,3.071288,0.0769554,12.394149
571,2.9244463,3.083129,0.68286276,13.870516
572,2.6007516,4.1489544,1.3562089,17.25952
